City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
70,Kaili,ID,2020-08-29 17:38:26,-3.46,120.21,68.68,86,100,2.04
71,Point Pedro,LK,2020-08-29 17:38:26,9.82,80.23,81.93,82,79,18.88
72,Erenhot,CN,2020-08-29 17:38:26,43.65,111.98,59.63,89,100,3.96
73,Trofors,NO,2020-08-29 17:38:26,65.53,13.41,51.8,76,88,5.82
74,Hasaki,JP,2020-08-29 17:36:43,35.73,140.83,78.8,94,40,4.7
75,Bengkulu,ID,2020-08-29 17:36:29,-3.8,102.27,76.53,87,86,4.36
76,Ponta Do Sol,PT,2020-08-29 17:38:26,32.67,-17.1,77.0,50,40,18.34
77,Kutum,SD,2020-08-29 17:38:26,14.2,24.67,78.01,58,81,11.18
78,Panguna,PG,2020-08-29 17:38:27,-6.32,155.48,67.84,100,51,1.83
79,Tiksi,RU,2020-08-29 17:34:59,71.69,128.87,41.38,85,0,7.11
80,Tevriz,RU,2020-08-29 17:38:27,57.51,72.4,55.8,80,61,1.48
81,Esperance,AU,2020-08-29 17:38:27,-33.87,121.9,48.2,81,75,2.24
82,Glendive,US,2020-08-29 17:38:27,47.11,-104.71,80.01,29,1,12.75
83,Carnaiba,BR,2020-08-29 17:38:27,-8.7,-37.67,86.88,42,38,18.86
84,Butaritari,KI,2020-08-29 17:38:27,3.07,172.79,82.58,72,39,11.48
85,Praia,CV,2020-08-29 17:38:28,14.92,-23.51,84.2,74,75,14.99
86,Tres Lagoas,BR,2020-08-29 17:34:05,-20.75,-51.68,97.9,14,0,10.76
87,Tautira,PF,2020-08-29 17:33:35,-17.73,-149.15,75.2,83,20,3.36
88,Manakara,MG,2020-08-29 17:38:28,-22.13,48.02,69.64,88,1,8.63
89,Sechura,PE,2020-08-29 17:38:28,-5.56,-80.82,75.42,50,51,11.32
90,Chaumont,FR,2020-08-29 17:38:28,48.12,5.13,66.99,52,45,3.0
91,Husavik,IS,2020-08-29 17:35:50,66.04,-17.34,51.8,76,75,4.7
92,Ibra,OM,2020-08-29 17:38:28,22.69,58.53,87.37,48,96,8.86
93,Goundi,TD,2020-08-29 17:38:29,9.36,17.37,72.37,96,97,4.14
94,Maldonado,UY,2020-08-29 17:38:29,-34.67,-54.92,55.0,100,90,14.99
95,Nambucca Heads,AU,2020-08-29 17:38:29,-30.65,153.0,51.8,93,9,6.93
96,Kavaratti,IN,2020-08-29 17:38:29,10.57,72.64,82.22,79,70,14.41
97,Mar Del Plata,AR,2020-08-29 17:35:49,-38.0,-57.56,50.0,53,75,16.11
98,San Patricio,MX,2020-08-29 17:38:29,19.22,-104.7,86.0,79,40,6.93
99,Harper,LR,2020-08-29 17:36:30,4.38,-7.72,76.89,80,62,12.66
100,Coquimbo,CL,2020-08-29 17:38:30,-29.95,-71.34,60.8,48,42,12.75
